,O,H,L,C,V,S,3d_COLOR,5d_COLOR,buy,sell,short,cover,pos
2009/6/11,3810,3940,3807,3878,634152,3869,1,1,1,0,0,0,1
2009/6/12,3888,3928,3835,3864,588842,3893,1,0,0,0,0,0,1
2009/6/15,3855,3877,3823,3849,366022,3850,0,0,0,0,0,0,1
2009/6/16,3829,3882,3828,3865,358246,3864,0,0,0,0,0,0,1
2009/6/17,3861,3878,3841,3852,212522,3857,0,0,0,0,0,0,1
2009/6/18,3852,3865,3830,3842,188838,3845,0,0,0,0,0,0,1
2009/6/19,3852,3920,3846,3907,556782,3891,1,1,0,0,0,0,1
2009/6/22,3908,3936,3900,3919,486210,3917,1,0,0,0,0,0,1
2009/6/23,3898,3900,3835,3881,481544,3868,0,-1,0,1,0,0,0
2009/6/24,3888,3897,3858,3870,278854,3874,-1,-1,0,0,1,0,-1
2009/6/25,3862,3888,3858,3866,281842,3871,-1,-1,0,0,0,0,-1
2009/6/26,3870,3887,3846,3854,370288,3860,-1,-1,0,0,0,0,-1
2009/6/29,3846,3853,3823,3829,269442,3838,-1,-1,0,0,0,0,-1
2009/6/30,3832,3840,3817,3826,195086,3828,-1,-1,0,0,0,0,-1
2009/7/1,3826,3845,3820,3839,204968,3835,-1,0,0,0,0,0,-1
2009/7/2,3856,3878,3845,3867,270952,3864,0,0,0,0,0,0,-1
2009/7/3,3867,3883,3858,3859,255284,3869,0,0,0,0,0,0,-1
2009/7/6,3858,3874,3855,3866,124140,3866,0,0,0,0,0,0,-1
2009/7/7,3876,3880,3864,3870,75408,3869,0,0,0,0,0,0,-1
2009/7/8,3861,3870,3837,3850,91018,3851,0,0,0,0,0,0,-1
2009/7/9,3841,3868,3841,3865,54998,3852,0,0,0,0,0,0,-1
2009/7/10,3874,3892,3865,3882,105188,3878,0,0,0,0,0,0,-1
2009/7/13,3891,3913,3881,3886,75444,3894,0,0,0,0,0,0,-1
2009/7/14,3932,3937,3916,3927,139702,3926,1,1,1,0,0,1,1
2009/7/15,3936,4005,3935,4002,325300,3974,1,1,0,0,0,0,1
2009/7/16,4010,4049,3993,4034,343434,4029,1,1,0,0,0,0,1
2009/7/17,4035,4043,3999,4007,240664,4013,1,1,0,0,0,0,1
2009/7/20,4016,4031,4006,4029,236266,4018,0,1,0,0,0,0,1
2009/7/21,4038,4045,4014,4034,257934,4030,0,1,0,0,0,0,1
2009/7/22,4044,4088,4036,4072,385238,4066,1,1,0,0,0,0,1
2009/7/23,4088,4124,4076,4122,374508,4101,1,1,0,0,0,0,1
2009/7/24,4125,4198,4120,4184,491822,4159,2,2,0,0,0,0,1
2009/7/27,4198,4258,4178,4236,703260,4218,2,2,0,0,0,0,1
2009/7/28,4235,4336,4218,4331,804126,4269,2,2,0,0,0,0,1
2009/7/29,4333,4416,4304,4392,1523852,4369,2,2,0,0,0,0,1
2009/7/30,4410,4449,4361,4444,1242210,4407,2,2,0,0,0,0,1
2009/7/31,4482,4627,4455,4627,1169890,4540,2,2,0,0,0,0,1
2009/8/3,4777,4857,4730,4857,780966,4824,2,2,0,0,0,0,1
2009/8/4,4970,4982,4828,4848,521860,4886,2,0,0,0,0,0,1
2009/8/5,4870,4950,4820,4875,1873192,4873,2,0,0,0,0,0,1
2009/8/6,4865,4899,4810,4853,1621836,4859,-2,0,0,1,0,0,0
2009/8/7,4837,4854,4631,4653,2229450,4731,-2,-2,0,0,1,0,-1
2009/8/10,4658,4725,4556,4642,2447234,4624,-2,-2,0,0,0,0,-1
2009/8/11,4618,4675,4603,4658,1560460,4645,-2,-2,0,0,0,0,-1
2009/8/12,4645,4662,4564,4591,1695626,4603,-2,-2,0,0,0,0,-1
2009/8/13,4621,4679,4602,4617,1571528,4636,-2,-2,0,0,0,0,-1
2009/8/14,4620,4640,4461,4512,1802234,4522,-2,-2,0,0,0,0,-1
2009/8/17,4443,4537,4365,4436,2215634,4449,-2,-2,0,0,0,0,-1
2009/8/18,4475,4499,4392,4416,1939468,4442,-2,-2,0,0,0,0,-1
2009/8/19,4400,4414,4219,4219,2016294,4304,-2,-2,0,0,0,0,-1
2009/8/20,4240,4317,4131,4283,3422102,4226,-2,0,0,0,0,0,-1
2009/8/21,4270,4426,4245,4334,3726314,4342,-2,-2,0,0,0,0,-1
2009/8/24,4451,4462,4306,4323,2943276,4358,1,-2,0,0,0,1,0
2009/8/25,4280,4280,4181,4240,2379552,4227,-2,-2,0,0,1,0,-1
2009/8/26,4210,4296,4202,4269,2537210,4249,-2,-2,0,0,0,0,-1
2009/8/27,4250,4312,4223,4271,2480188,4274,-2,-2,0,0,0,0,-1
2009/8/28,4288,4333,4250,4272,2079554,4291,-2,-2,0,0,0,0,-1
2009/8/31,4261,4271,4115,4133,1196214,4183,-2,-2,0,0,0,0,-1
2009/9/1,4098,4127,4054,4075,2298522,4093,-2,-2,0,0,0,0,-1
2009/9/2,4020,4079,4011,4032,2495062,4045,-2,-2,0,0,0,0,-1
2009/9/3,4041,4075,4003,4049,2692972,4038,-2,-2,0,0,0,0,-1
2009/9/4,4055,4068,4015,4031,2149974,4044,-2,-2,0,0,0,0,-1
2009/9/7,4018,4018,3908,3919,2319506,3960,-2,-2,0,0,0,0,-1
2009/9/8,3898,3959,3880,3944,2940662,3927,-2,0,0,0,0,0,-1
2009/9/9,3960,4048,3955,4044,3511382,4002,1,0,0,0,0,1,0
2009/9/10,4060,4078,4003,4007,3042352,4045,1,0,0,0,0,0,0
2009/9/11,4000,4025,3957,3972,2300404,3997,1,0,0,0,0,0,0
2009/9/14,3927,3975,3900,3973,2204152,3937,-1,0,0,0,1,0,-1
2009/9/15,3993,3996,3951,3967,2442764,3972,-1,0,0,0,0,0,-1
2009/9/16,3985,4040,3966,4036,2972124,4008,1,0,0,0,0,1,0
2009/9/17,4050,4065,3990,3990,2894650,4033,1,0,0,0,0,0,0
2009/9/18,3981,3997,3937,3973,2542940,3967,1,0,0,0,0,0,0
2009/9/21,3970,4007,3961,3989,2124888,3988,-1,0,0,0,1,0,-1
2009/9/22,3977,3989,3953,3956,1579692,3967,-1,-1,0,0,0,0,-1
2009/9/23,3958,3964,3890,3891,1982280,3917,-2,-2,0,0,0,0,-1
2009/9/24,3881,3882,3813,3854,1994462,3840,-2,-2,0,0,0,0,-1
2009/9/25,3830,3847,3811,3825,1428766,3827,-2,-2,0,0,0,0,-1
2009/9/28,3812,3815,3637,3659,1576644,3711,-2,-2,0,0,0,0,-1
2009/9/29,3667,3709,3627,3694,955326,3676,-2,0,0,0,0,0,-1
2009/9/30,3699,3725,3670,3690,502604,3690,-2,0,0,0,0,0,-1
2009/10/9,3738,3740,3640,3644,389490,3671,1,0,0,0,0,1,0
2009/10/12,3634,3700,3610,3695,2780278,3664,1,0,0,0,0,0,0
2009/10/13,3690,3707,3657,3665,3021334,3679,1,1,1,0,0,0,1
2009/10/14,3655,3693,3652,3678,1978512,3678,1,1,0,0,0,0,1
2009/10/15,3679,3758,3678,3756,3455848,3728,1,1,0,0,0,0,1
2009/10/16,3761,3829,3760,3829,3382296,3783,1,2,0,0,0,0,1
2009/10/19,3830,3961,3830,3865,4873370,3886,1,0,0,0,0,0,1
2009/10/20,3880,3899,3810,3842,4400712,3847,1,0,0,0,0,0,1
2009/10/21,3838,3894,3826,3887,4327680,3857,1,0,0,0,0,0,1
2009/10/22,3920,3940,3854,3855,3798008,3894,1,1,0,0,0,0,1
2009/10/23,3860,3912,3855,3891,3262858,3884,1,1,0,0,0,0,1
2009/10/26,3898,4005,3898,4001,3803970,3959,1,1,0,0,0,0,1
2009/10/27,3988,4014,3952,3971,4219748,3978,1,0,0,0,0,0,1
2009/10/28,3968,3968,3858,3865,3985220,3913,-2,-2,0,1,1,0,-1
2009/10/29,3820,3854,3787,3835,3560734,3821,-2,-2,0,0,0,0,-1
2009/10/30,3879,3895,3845,3875,3493144,3866,-2,0,0,0,0,0,-1
2009/11/2,3843,3916,3828,3910,3874360,3872,1,0,0,0,0,1,0
2009/11/3,3910,3940,3876,3881,3823694,3912,0,0,0,0,0,0,0
2009/11/4,3886,3903,3866,3889,2265846,3886,0,0,0,0,0,0,0
2009/11/5,3880,3895,3878,3885,1028068,3886,0,0,0,0,0,0,0
2009/11/6,3890,3896,3876,3890,500226,3887,0,0,0,0,0,0,0
2009/11/9,4065,4125,4055,4110,2741108,4081,2,2,1,0,0,0,1
2009/11/10,4128,4144,4078,4081,4093486,4108,2,0,0,0,0,0,1
2009/11/11,4094,4114,4060,4066,3384350,4087,2,0,0,0,0,0,1
2009/11/12,4074,4085,4033,4048,2801338,4054,-1,0,0,1,0,0,0
2009/11/13,4031,4071,4007,4069,3108858,4037,-1,0,0,0,0,0,0
2009/11/16,4071,4085,4051,4057,2375782,4069,-1,0,0,0,0,0,0
2009/11/17,4075,4079,4033,4040,1720030,4056,-1,0,0,0,0,0,0
2009/11/18,4046,4053,4029,4045,1227332,4043,-1,0,0,0,0,0,0
2009/11/19,4038,4137,4035,4115,2827416,4102,1,1,1,0,0,0,1
2009/11/20,4130,4156,4086,4109,2400314,4117,1,1,0,0,0,0,1
2009/11/23,4122,4193,4117,4186,2460280,4159,1,1,0,0,0,0,1
2009/11/24,4170,4198,4092,4118,2614316,4158,1,-1,0,1,0,0,0
2009/11/25,4129,4140,4103,4129,1586646,4121,1,-1,0,0,0,0,0
2009/11/26,4140,4157,4064,4077,1528990,4107,-2,-2,0,0,1,0,-1
2009/11/27,4052,4055,3915,3939,1439740,3983,-2,-2,0,0,0,0,-1
2009/11/30,4336,4404,4322,4375,3268228,4372,2,2,1,0,0,1,1
2009/12/1,4390,4408,4331,4367,2929698,4360,2,0,0,0,0,0,1
2009/12/2,4388,4409,4361,4377,2660750,4383,2,0,0,0,0,0,1
2009/12/3,4383,4396,4366,4385,2102022,4381,0,0,0,0,0,0,1
2009/12/4,4368,4381,4336,4374,2500528,4360,0,0,0,0,0,0,1
2009/12/7,4354,4395,4354,4373,1983820,4375,0,-2,0,1,0,0,0
2009/12/8,4380,4385,4288,4318,2779118,4321,-1,-2,0,0,1,0,-1
2009/12/9,4284,4290,4246,4267,1871676,4272,-2,-2,0,0,0,0,-1
2009/12/10,4267,4337,4250,4334,3354396,4294,-2,1,0,0,0,1,0
2009/12/11,4350,4401,4350,4396,3160862,4376,1,1,1,0,0,0,1
2009/12/14,4400,4433,4331,4430,2822038,4384,1,1,0,0,0,0,1
2009/12/15,4430,4438,4384,4394,2691114,4409,0,0,0,0,0,0,1
2009/12/16,4387,4419,4370,4392,1644196,4397,0,0,0,0,0,0,1
2009/12/17,4415,4431,4375,4386,1735560,4403,0,0,0,0,0,0,1
2009/12/18,4350,4389,4349,4379,1061746,4372,0,0,0,0,0,0,1
2009/12/21,4389,4418,4372,4418,1170240,4390,0,0,0,0,0,0,1
2009/12/22,4411,4438,4403,4405,1933556,4420,0,0,0,0,0,0,1
2009/12/23,4410,4427,4393,4408,1166438,4412,0,0,0,0,0,0,1
2009/12/24,4428,4478,4413,4461,1507386,4442,1,1,0,0,0,0,1
2009/12/25,4461,4478,4442,4459,1129794,4460,1,1,0,0,0,0,1
2009/12/28,4465,4538,4463,4525,1346854,4510,1,1,0,0,0,0,1
2009/12/29,4525,4547,4488,4499,1430618,4512,1,1,0,0,0,0,1
2009/12/30,4497,4515,4477,4486,973818,4498,1,1,0,0,0,0,1
2009/12/31,4495,4518,4486,4511,976200,4502,1,1,0,0,0,0,1
2010/1/4,4523,4610,4523,4579,1809996,4576,1,1,0,0,0,0,1
2010/1/5,4592,4606,4572,4589,1320756,4590,1,1,0,0,0,0,1
2010/1/6,4587,4635,4581,4622,1481228,4620,1,1,0,0,0,0,1
2010/1/7,4641,4650,4389,4489,2196160,4539,-2,-2,0,1,1,0,-1
2010/1/8,4505,4510,4412,4462,1520076,4456,-2,-2,0,0,0,0,-1
2010/1/11,4495,4518,4475,4516,1130570,4502,-2,-2,0,0,0,0,-1
2010/1/12,4505,4528,4480,4510,1176288,4503,-2,-2,0,0,0,0,-1
2010/1/13,4420,4460,4354,4418,1461688,4420,-2,-2,0,0,0,0,-1
2010/1/14,4450,4464,4430,4433,1076498,4448,-2,-2,0,0,0,0,-1
2010/1/15,4419,4436,4355,4368,1276950,4395,-2,-2,0,0,0,0,-1
2010/1/18,4339,4399,4310,4395,1148302,4374,-2,-2,0,0,0,0,-1
2010/1/19,4405,4418,4361,4382,1236092,4388,-1,-2,0,0,0,0,-1
2010/1/20,4392,4394,4341,4364,1243448,4364,-1,-1,0,0,0,0,-1
2010/1/21,4337,4366,4326,4352,960118,4344,-1,-1,0,0,0,0,-1
2010/1/22,4319,4335,4257,4288,1207020,4298,-2,-1,0,0,0,0,-1
2010/1/25,4280,4295,4265,4278,870946,4280,-2,-1,0,0,0,0,-1
2010/1/26,4286,4290,4258,4265,818680,4270,-2,-1,0,0,0,0,-1
2010/1/27,4275,4327,4265,4316,1452742,4299,1,-1,0,0,0,1,0
2010/1/28,4260,4319,4255,4293,1793390,4295,1,-1,0,0,0,0,0
2010/1/29,4281,4315,4276,4300,1234868,4298,0,0,0,0,0,0,0
2010/2/1,4317,4334,4276,4295,1156486,4296,-1,0,0,0,1,0,-1
2010/2/2,4316,4323,4126,4159,2453186,4209,-2,-2,0,0,0,0,-1
2010/2/3,4175,4188,4136,4180,1448904,4165,-2,-2,0,0,0,0,-1
2010/2/4,4150,4158,4093,4115,1152398,4123,-2,-2,0,0,0,0,-1
2010/2/5,4090,4110,4066,4109,849138,4088,-2,0,0,0,0,0,-1
2010/2/8,4120,4139,4103,4129,577962,4123,-2,0,0,0,0,0,-1
2010/2/9,4123,4166,4115,4157,617652,4137,1,1,1,0,0,1,1
2010/2/10,4172,4219,4156,4198,732940,4191,1,1,0,0,0,0,1
2010/2/11,4210,4236,4190,4229,497494,4216,1,1,0,0,0,0,1
2010/2/12,4246,4299,4233,4293,599774,4276,1,1,0,0,0,0,1
2010/2/22,4330,4376,4229,4243,1055136,4278,1,0,0,0,0,0,1
2010/2/23,4240,4297,4220,4283,1147210,4273,1,0,0,0,0,0,1
2010/2/24,4261,4281,4233,4253,1098624,4252,-1,0,0,1,0,0,0
2010/2/25,4258,4263,4191,4209,929826,4234,-1,-1,0,0,1,0,-1
2010/2/26,4208,4219,4175,4214,703304,4196,-1,-1,0,0,0,0,-1
2010/3/1,4233,4256,4190,4209,520590,4216,-1,-1,0,0,0,0,-1
2010/3/2,4202,4208,4151,4155,425640,4172,-1,0,0,0,0,0,-1
2010/3/3,4173,4173,4133,4143,234628,4150,-1,0,0,0,0,0,-1
2010/3/4,4150,4158,4135,4141,231868,4145,-1,0,0,0,0,0,-1
2010/3/5,4140,4172,4135,4168,233628,4157,0,0,0,0,0,0,-1
2010/3/8,4171,4205,4165,4189,268998,4190,0,1,0,0,0,1,0
2010/3/9,4615,4648,4596,4636,1233638,4625,2,2,1,0,0,0,1
2010/3/10,4642,4664,4619,4649,1473124,4640,2,1,0,0,0,0,1
2010/3/11,4657,4673,4603,4652,2179364,4644,2,0,0,0,0,0,1
2010/3/12,4669,4678,4647,4658,1492582,4660,0,0,0,0,0,0,1
2010/3/15,4661,4675,4634,4660,1417516,4653,0,0,0,0,0,0,1
2010/3/16,4650,4794,4646,4780,3010260,4735,1,1,0,0,0,0,1
2010/3/17,4799,4828,4741,4763,3359552,4781,1,0,0,0,0,0,1
2010/3/18,4756,4772,4730,4733,2106268,4751,1,0,0,0,0,0,1
2010/3/19,4736,4767,4721,4757,1684262,4749,0,0,0,0,0,0,1
2010/3/22,4751,4812,4751,4768,2049968,4782,0,0,0,0,0,0,1
2010/3/23,4777,4788,4738,4742,1517210,4766,0,0,0,0,0,0,1
2010/3/24,4750,4785,4731,4778,1723924,4767,0,0,0,0,0,0,1
2010/3/25,4790,4814,4771,4796,1511786,4791,0,0,0,0,0,0,1
2010/3/26,4801,4848,4787,4793,2573042,4815,0,0,0,0,0,0,1
2010/3/29,4812,4825,4782,4810,1763838,4803,0,0,0,0,0,0,1
2010/3/30,4815,4829,4755,4761,1950698,4790,-1,0,0,1,0,0,0
2010/3/31,4766,4775,4744,4755,1408260,4760,-1,0,0,0,0,0,0
2010/4/1,4765,4766,4725,4753,1429706,4751,-1,0,0,0,0,0,0
2010/4/2,4763,4788,4758,4786,1031424,4772,0,0,0,0,0,0,0
2010/4/6,4799,4832,4794,4824,1307376,4813,1,1,1,0,0,0,1
2010/4/7,4839,4854,4829,4846,1288222,4840,1,1,0,0,0,0,1
2010/4/8,4843,4846,4801,4810,1165992,4823,1,1,0,0,0,0,1
2010/4/9,4816,4850,4805,4848,1302658,4831,1,1,0,0,0,0,1
2010/4/12,4865,4885,4853,4872,1533734,4870,1,1,0,0,0,0,1
2010/4/13,4865,4898,4863,4881,1749724,4879,1,1,0,0,0,0,1
2010/4/14,4890,4896,4852,4854,1743728,4871,0,0,0,0,0,0,1
2010/4/15,4852,4863,4812,4819,1949828,4837,-1,0,0,1,0,0,0
2010/4/16,4817,4843,4804,4838,1656806,4826,-1,0,0,0,0,0,0
2010/4/19,4802,4817,4733,4752,2397786,4771,-2,-1,0,0,1,0,-1
2010/4/20,4770,4777,4744,4772,1686264,4762,-2,-1,0,0,0,0,-1
2010/4/21,4765,4772,4733,4759,1698588,4755,-2,-1,0,0,0,0,-1
2010/4/22,4750,4767,4728,4734,1372024,4749,-1,-1,0,0,0,0,-1
2010/4/23,4732,4746,4723,4740,1211784,4737,-1,-1,0,0,0,0,-1
2010/4/26,4758,4763,4724,4734,1249174,4741,-1,-1,0,0,0,0,-1
2010/4/27,4721,4726,4667,4678,1613854,4689,-2,-1,0,0,0,0,-1
2010/4/28,4621,4649,4585,4588,1844532,4619,-2,-2,0,0,0,0,-1
2010/4/29,4594,4619,4577,4583,1839246,4599,-2,0,0,0,0,0,-1
2010/4/30,4596,4638,4590,4635,1755184,4609,-2,1,0,0,0,1,0
2010/5/4,4616,4676,4609,4665,2101884,4649,1,0,1,0,0,0,1
2010/5/5,4620,4662,4613,4653,2260862,4636,1,-2,0,1,0,0,0
2010/5/6,4656,4679,4631,4637,2128592,4653,1,-2,0,0,0,0,0
2010/5/7,4610,4618,4537,4545,2467400,4565,-2,-2,0,0,1,0,-1
2010/5/10,4572,4580,4489,4534,2868580,4527,-2,-2,0,0,0,0,-1
2010/5/11,4530,4548,4475,4479,2786906,4510,-2,-2,0,0,0,0,-1
2010/5/12,4471,4474,4395,4406,3290276,4422,-2,-2,0,0,0,0,-1
2010/5/13,4412,4427,4372,4400,3072762,4401,-2,-2,0,0,0,0,-1
2010/5/14,4389,4421,4363,4367,2932552,4394,-2,-2,0,0,0,0,-1
2010/5/17,4320,4329,4178,4186,3300006,4235,-2,-2,0,0,0,0,-1
2010/5/18,4200,4244,4138,4209,4119684,4180,-2,0,0,0,0,0,-1
2010/5/19,4152,4250,4148,4223,3850530,4205,-2,0,0,0,0,0,-1
2010/5/20,4248,4297,4229,4251,3534040,4267,1,1,1,0,0,1,1
2010/5/21,4228,4244,4162,4228,3508858,4208,1,1,0,0,0,0,1
2010/5/24,4278,4321,4258,4318,2764508,4284,1,1,0,0,0,0,1
2010/5/25,4293,4313,4260,4264,3080458,4284,1,0,0,0,0,0,1
2010/5/26,4300,4301,4252,4272,2833618,4272,1,0,0,0,0,0,1
2010/5/27,4260,4284,4225,4270,3119880,4251,-1,0,0,1,0,0,0
2010/5/28,4293,4313,4250,4256,2863524,4279,-1,0,0,0,0,0,0
2010/5/31,4237,4257,4215,4215,2445792,4237,-1,-1,0,0,1,0,-1
